src	trg	nij	score
1	0	9259	0.4121556936211208
2	0	9584	0.4652808182316306
3	0	1729	0.08938896069180269
4	0	486677	1.0
5	0	6612	0.21581981043628973
9	0	2308	0.14832035260260823
10	0	5608	0.21832362075882472
11	0	3770	0.1734644969785779
12	0	745	0.12526996294818993
13	0	12326	0.5219395403938052
14	0	155702	0.9725097950263452
15	0	33062	0.4654036375041968
16	0	1845	0.14080103184615278
17	0	15184	0.6098843832370373
18	0	7245	0.24200179469493088
19	0	18992	0.5907159362422407
20	0	8203	0.26137088426252764
21	0	15076	0.4255157255722599
22	0	29164	0.8299610916883017
23	0	418144	0.9999998797342262
24	0	28110	0.5145859947310896
25	0	6325	0.19760394235365208
26	0	9319	0.2589977400129856
27	0	6030	0.18360090745038737
28	0	25115	0.548443161978323
29	0	13535	0.33174021888391725
30	0	51591	0.9911111036855189
31	0	42051	0.9985863239113836
32	0	564	0.052554282371924166
33	0	14417	0.42681178960241517
34	0	37897	0.9202797896516343
35	0	2452	0.12404422893457412
36	0	1655	0.06161633745724149
37	0	10690	0.2613105720088652
39	0	1544	0.18788162461092528
40	0	2704	0.12186851733159598
41	0	31009	0.8861360388384936
42	0	8672	0.45477229571401223
43	0	8326	0.21377224172380904
44	0	11320	0.2814940836897716
46	0	44805	0.9859346006569298
47	0	49205	0.8917829266270394
48	0	3053	0.09201808111928322
49	0	2436	0.11572365800732431
50	0	4667	0.3821127362665656
51	0	15466	0.38149833081068074
52	0	12337	0.47898557503756045
53	0	14196	0.33870435914831154
55	0	25423	0.4800622428604512
56	0	3475	0.22735461358912834
57	0	2203	0.1271259976603779
58	0	1372	0.06949309210762844
60	0	31451	0.5623361940282459
61	0	28870	0.9918351932763457
62	0	27944	0.8047152652188775
63	0	157748	0.9999958873537693
64	0	8119	0.2675070874186949
65	0	29012	0.5788103178931485
66	0	7277	0.17618154637196592
67	0	9615	0.32932225734412823
68	0	11680	0.5283247067641562
69	0	1246	0.08844394355789198
70	0	1896	0.09779034718652668
71	0	2283	0.06777727949066226
72	0	21968	0.27938219423523003
73	0	1259	0.13457784105624992
74	0	58721	0.9871399003730421
76	0	1181	0.07452127437311806
78	0	41629	0.9617517941407921
79	0	41064	0.7032983735241206
80	0	1809	0.0772163578081545
83	0	690	0.10737292533356202
84	0	1508	0.07371868609187615
88	0	6310	0.1255382891620347
89	0	57027	0.6353133522123644
92	0	1618	0.057960868892187545
95	0	1445	0.0616747240100719
97	0	10621	0.2870613716105751
100	0	3544	0.09058925848520327
103	0	4277	0.12107984397183014
104	0	6257	0.5054794463230724
105	0	2519	0.5269125348706831
108	0	923	0.05038784600033197
115	0	1829	0.09359518239228837
116	0	1688	0.09220184188902725
